epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.566,1.6975,3.62634,1.15764,0.01348,0.80985,0.19408,0.11306,1.24786,3.67802,0.95771,0.000325397,0.000325397,0.000325397
2,564.447,1.43202,2.05816,1.04604,0.92269,0.25146,0.65184,0.42656,1.17767,2.6374,0.96554,0.000636992,0.000636992,0.000636992
3,858.955,1.39036,1.58816,1.04666,0.76744,0.77146,0.83883,0.55884,1.20089,1.49411,0.97198,0.000926587,0.000926587,0.000926587
4,1145.09,1.29468,1.31764,1.02716,0.71323,0.77386,0.82995,0.52865,1.27415,1.54077,1.00315,0.000901,0.000901,0.000901
5,1477.41,1.25016,1.18201,1.02459,0.80279,0.82232,0.89368,0.60533,1.14725,1.15648,0.98667,0.000868,0.000868,0.000868
6,1771.81,1.22704,1.11276,1.01465,0.80858,0.82176,0.87952,0.59637,1.13119,1.04816,0.99047,0.000835,0.000835,0.000835
7,2066.68,1.23514,1.04812,1.01123,0.81673,0.85976,0.89914,0.60815,1.15626,0.98575,0.97637,0.000802,0.000802,0.000802
8,2403.25,1.21321,1.04394,1.00809,0.86217,0.82788,0.90817,0.62293,1.13706,1.02531,0.97858,0.000769,0.000769,0.000769
9,2704.83,1.20941,0.99268,1.01298,0.82041,0.89873,0.89998,0.65845,1.04149,0.91807,0.94945,0.000736,0.000736,0.000736
10,3000.29,1.18852,0.97911,1.00164,0.85,0.84636,0.90667,0.62795,1.10664,0.92991,0.97313,0.000703,0.000703,0.000703
11,3300.77,1.17093,0.94813,0.99707,0.86445,0.87275,0.91145,0.66187,1.0397,0.88305,0.94761,0.00067,0.00067,0.00067
12,3604.31,1.11882,0.90633,0.98395,0.86483,0.88892,0.9115,0.65131,1.05942,0.86294,0.96162,0.000637,0.000637,0.000637
13,3970.49,1.11741,0.87593,0.98299,0.84409,0.8634,0.90503,0.64138,1.08251,0.87196,0.96541,0.000604,0.000604,0.000604
14,4484.24,1.15066,0.87304,0.99719,0.86744,0.85872,0.90967,0.62604,1.1338,0.91312,0.97438,0.000571,0.000571,0.000571
15,4763.26,1.13408,0.85869,0.98561,0.85638,0.88894,0.91977,0.64767,1.13404,0.82367,0.97375,0.000538,0.000538,0.000538
16,5045.71,1.09972,0.82794,0.9788,0.84415,0.8889,0.90841,0.65758,1.03915,0.85578,0.95961,0.000505,0.000505,0.000505
17,5309.88,1.12871,0.83525,0.9859,0.8397,0.87485,0.90179,0.61378,1.1861,0.91688,0.99554,0.000472,0.000472,0.000472
18,5570.66,1.11628,0.83377,0.98158,0.87408,0.83258,0.90855,0.66292,1.01331,0.82735,0.95288,0.000439,0.000439,0.000439
19,5831.14,1.09871,0.79609,0.98169,0.87928,0.86959,0.91848,0.66573,1.03503,0.7927,0.95545,0.000406,0.000406,0.000406
20,6092.01,1.06496,0.76789,0.96624,0.86262,0.87654,0.90973,0.66458,1.04442,0.79936,0.95989,0.000373,0.000373,0.000373
21,6357.63,1.05922,0.80655,0.97636,0.87144,0.87612,0.91825,0.65169,1.11483,0.81407,0.96399,0.00034,0.00034,0.00034
22,6615.62,1.04195,0.76042,0.97262,0.84833,0.88148,0.91479,0.66349,1.03831,0.78249,0.95455,0.000307,0.000307,0.000307
23,6876.56,1.02095,0.7408,0.96083,0.85077,0.90693,0.92296,0.67712,1.0385,0.74989,0.95737,0.000274,0.000274,0.000274
24,7143.03,1.01921,0.73116,0.96419,0.84834,0.89862,0.92245,0.6708,1.04508,0.75586,0.96007,0.000241,0.000241,0.000241
25,7404.59,0.99642,0.71086,0.96024,0.86101,0.89737,0.9187,0.66307,1.05587,0.74966,0.96329,0.000208,0.000208,0.000208
26,7668.01,0.98304,0.69814,0.95491,0.86644,0.90394,0.9204,0.66416,1.06607,0.74063,0.9606,0.000175,0.000175,0.000175
27,7938.2,0.97534,0.67937,0.94669,0.85963,0.89069,0.92685,0.66312,1.07366,0.74139,0.95686,0.000142,0.000142,0.000142
28,8203.56,0.97447,0.67078,0.95137,0.87663,0.86216,0.92134,0.67277,1.03418,0.72131,0.9541,0.000109,0.000109,0.000109
29,8471.78,0.95302,0.66974,0.93548,0.85493,0.88847,0.92349,0.666,1.04414,0.72129,0.95708,7.6e-05,7.6e-05,7.6e-05
30,8730.54,0.95089,0.65604,0.93584,0.86733,0.88545,0.92462,0.67164,1.03911,0.71085,0.95491,4.3e-05,4.3e-05,4.3e-05
